Organism,Protein,COG,Cat,Annotation
287,296,COG1791,E,"Acireductone dioxygenase (methionine salvage), cupin superfamily"
1661,1667,COG1792,D Z,Cell shape-determining protein MreC
1113,1905,COG1793,L,ATP-dependent DNA ligase
1017,1175,COG1797,H,"Cobyrinic acid a,c-diamide synthase"
942,1302,COG1801,R,"Sugar isomerase-related protein YecE, UPF0759/DUF72 family"
1273,7163,COG1802,K,"DNA-binding transcriptional regulator, GntR family"
1053,4577,COG1804,I,Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases
905,964,COG1806,T,"Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities)"
1239,2994,COG1807,M,"PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA"
1064,1172,COG1815,N,Flagellar basal body rod protein FlgB
939,1360,COG1816,F,Adenosine/6-amino-6-deoxyfutalosine deaminase
255,269,COG1823,E,"L-cystine transporter TcyP, sodium:dicarboxylate symporter family"
1866,1886,COG1825,J,Ribosomal protein L25 (general stress protein Ctc)
1745,3199,COG1826,U,"Twin-arginine protein secretion pathway components TatA, TatB, TatE"
1228,3354,COG1835,M,"Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains"
1153,1296,COG1838,C,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain"
1249,2657,COG1840,G H,"ABC-type transport systems for B6 and hexose phosphate, periplasmic component"
1949,1919,COG1841,J,Ribosomal protein L30/L7E
1078,1224,COG1843,N,Flagellar hook-capping protein FlgD
1452,2479,COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
1995,16130,COG1846,K,"DNA-binding transcriptional regulator, MarR family"
1733,4093,COG1853,C,"FMN reductase RutF, DIM6/NTAB family"
821,1922,COG1858,O,Cytochrome c peroxidase
1836,1856,COG1862,U,Protein translocase subunit YajC
907,1130,COG1863,P,"Multisubunit Na+/H+ antiporter, MnhE subunit"
1056,1159,COG1868,N,Flagellar motor switch protein FliM
368,398,COG1869,G,D-ribose pyranose/furanose isomerase RbsD
847,882,COG1875,R,"Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains"
1069,1767,COG1878,E,Kynurenine formamidase
1151,5574,COG1879,G,"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain"
935,1216,COG1881,R,"Uncharacterized protein, putative kinase inhibitor, PEBP/RKIP/YbhB/UPF0098 family"
1090,1489,COG1886,N U,"Flagellar biosynthesis/Type III secretion system protein FliN/YscQ/SpaO/HrcQ, SctQ family"
1226,1922,COG1893,H,Ketopantoate reductase
1488,2528,COG1894,C,"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
1575,2168,COG1898,M,"dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme"
1676,4433,COG1902,C,"2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family"
642,649,COG1903,H,Cobalt-precorrin-5B methyltransferase
1437,2614,COG1905,C,NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)
1853,6942,COG1917,R,Cupin domain protein related to quercetin dioxygenase
651,784,COG1921,J,Seryl-tRNA(Sec) selenium transferase
973,1265,COG1922,M,"UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family"
1002,1065,COG1923,T,sRNA-binding regulator protein Hfq
1541,2689,COG1925,T G,HPr or related phosphotransfer protein
517,626,COG1926,R,Predicted phosphoribosyltransferase
844,1021,COG1929,G,Glycerate kinase
1487,1548,COG1932,E H,Phosphoserine aminotransferase
1070,1090,COG1934,M,Lipopolysaccharide export system protein LptA
1095,1744,COG1937,K,"DNA-binding transcriptional regulator, FrmR family"
814,1190,COG1942,Q,"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family"
1023,3115,COG1943,X,REP element-mobilizing transposase RayT
610,791,COG1944,J,Ribosomal protein S12 methylthiotransferase accessory factor YcaO
650,969,COG1946,I,Acyl-CoA thioesterase
1797,1808,COG1947,I,4-diphosphocytidyl-2C-methyl-D-erythritol kinase
770,777,COG1949,A,Oligoribonuclease (3'-5' exoribonuclease)
1151,1289,COG1951,C,"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain"
806,825,COG1952,U,Preprotein translocase subunit SecB
329,430,COG1953,F H,Cytosine/uracil/thiamine/allantoin permease
926,1075,COG1956,V T,"GAF domain-containing protein, putative methionine-R-sulfoxide reductase"
926,1605,COG1957,F,Inosine-uridine nucleoside N-ribohydrolase
1789,4399,COG1959,K,"DNA-binding transcriptional regulator, IscR family"
1715,16202,COG1960,I,Acyl-CoA dehydrogenase related to the alkylation response protein AidB
1397,4556,COG1961,L,Site-specific DNA recombinase SpoIVCA/DNA invertase PinE
331,333,COG1965,P,"Fe-S cluster assembly protein CyaY, frataxin homolog"
899,1074,COG1966,C E,Carbon starvation protein CstA (peptide/pyruvate transporter)
1993,2211,COG1968,I,Undecaprenyl pyrophosphate phosphatase
1384,1479,COG1970,M,Large-conductance mechanosensitive channel
1752,2751,COG1974,K T,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
1135,1810,COG1975,O,"Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family"
1537,2208,COG1977,H,Molybdopterin synthase sulfur carrier subunit MoaD
602,763,COG1979,C,"Alcohol dehydrogenase YqhD, Fe-dependent ADH family"
846,918,COG1981,H,Protoporphyrinogen oxidase HemJ (unrelated to HemG or HemY)
797,1182,COG1982,E,Arginine/lysine/ornithine decarboxylase
939,1179,COG1984,E,5-oxoprolinase subunit C/Allophanate hydrolase subunit 2
1973,2531,COG1985,H,"Pyrimidine reductase, riboflavin biosynthesis"
1078,1184,COG1987,N,Flagellar biosynthesis protein FliQ
599,748,COG1988,R,"Membrane-bound metal-dependent hydrolase YbcI, DUF457 family"
1250,1350,COG1989,N U,Type II secretion system/type IV prepilin peptidase GspO/PulO/PilD
1368,1631,COG1995,H,4-hydroxy-L-threonine phosphate dehydrogenase PdxA
1151,2239,COG1999,O,"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family"
1678,1695,COG2001,J,"MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity"
1651,2258,COG2003,L,"DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif"
759,959,COG2005,K,DNA-binding transcriptional regulator ModE (molybdenum-dependent)
1262,1479,COG2008,E,Threonine aldolase
1075,1111,COG2009,C,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit"
1299,5164,COG2010,C,"Cytochrome c, mono- and diheme variants"
886,1246,COG2011,E,"ABC-type methionine transport system, permease component"
263,365,COG2015,Q,"Alkyl sulfatase BDS1 and related hydrolases, metallo-beta-lactamase superfamily"
1269,2208,COG2017,G,Galactose mutarotase or related enzyme
114,123,COG2019,F,Archaeal adenylate kinase
1055,1726,COG2020,O,Protein-S-isoprenylcysteine O-methyltransferase Ste14
1126,1344,COG2021,E,Homoserine O-acetyltransferase
1258,1286,COG2022,H,"Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis)"
1529,2302,COG2025,C,"Electron transfer flavoprotein, alpha subunit FixB"
1020,1272,COG2027,M,D-alanyl-D-alanine carboxypeptidase
1250,4509,COG2030,I,Acyl-CoA dehydratase PaaZ
273,308,COG2031,I,Short chain fatty acids transporter
1189,1294,COG2038,H,NaMN:DMB phosphoribosyltransferase
341,381,COG2040,E,Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)
1170,2383,COG2041,C,Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases
957,1217,COG2049,E,5-oxoprolinase subunit B/Allophanate hydrolase subunit 1
1601,4788,COG2050,Q,"Acyl-CoA thioesterase PaaI, contains HGG motif"
651,1052,COG2055,C,"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family"
205,225,COG2056,E,"Predicted histidine transporter YuiF, NhaC family"
1017,1589,COG2057,I,"Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit"
1086,2053,COG2059,P,Chromate transport protein ChrA
683,727,COG2060,P,"K+-transporting ATPase, KdpA subunit"
1365,1725,COG2062,T,Phosphohistidine phosphatase SixA
785,896,COG2063,N,Flagellar basal body L-ring protein FlgH
1116,1275,COG2065,F,Pyrimidine operon attenuation protein PyrR/uracil phosphoribosyltransferase
834,1396,COG2067,I,Long-chain fatty acid transport protein
1057,1174,COG2068,H,CTP:molybdopterin cytidylyltransferase MocA
1446,2982,COG2070,R,"NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family"
985,1275,COG2071,E,"Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain"
849,2549,COG2072,P,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD
661,724,COG2073,H,Cobalt-precorrin 5A hydrolase
1236,2350,COG2076,V,Multidrug transporter EmrE and related cation transporters
808,859,COG2077,O,Peroxiredoxin
663,1162,COG2079,G,2-methylcitrate dehydratase PrpD
1095,3246,COG2080,C,"Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family"
1391,1833,COG2081,R,Predicted flavoprotein YhiN
854,952,COG2082,H,Precorrin-8X methylmutase CbiC/CobH
1459,3779,COG2084,I,3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase
1522,2269,COG2086,C,"Electron transfer flavoprotein, alpha and beta subunits"
1046,1139,COG2087,H,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase
725,732,COG2094,L,3-methyladenine DNA glycosylase Mpg
1207,1779,COG2095,E,"Small neutral amino acid transporter SnatA, MarC family"
1305,1411,COG2096,H,Cob(II)alamin adenosyltransferase
664,687,COG2099,H,Precorrin-6x reductase
1394,1531,COG2104,J H,"Sulfur carrier protein ThiS/TtuB (thiamine biosynthesis, tRNA 2-thiouridylation)"
1119,1341,COG2109,H,ATP:corrinoid adenosyltransferase
1101,1456,COG2110,J,"O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain"
864,1271,COG2111,P,"Multisubunit Na+/H+ antiporter, MnhB subunit"
698,1304,COG2113,E,"ABC-type proline/glycine betaine transport system, periplasmic component"
793,1105,COG2116,P,"Formate/nitrite transporter FocA, FNT family"
612,758,COG2119,R,"Putative Ca2+/H+ antiporter, TMEM165/GDT1 family"
1138,2829,COG2120,G,"N-acetylglucosaminyl deacetylase, LmbE family"
959,4855,COG2124,V Q,Cytochrome P450
1339,1501,COG2127,O,ATP-dependent Clp protease adapter protein ClpS
1139,2924,COG2128,P,"Alkylhydroperoxidase family enzyme, contains CxxC motif"
678,927,COG2130,Q R,NADPH-dependent curcumin reductase CurA
1173,2497,COG2132,D M P,Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)
1248,4292,COG2133,G,"Glucose/arabinose dehydrogenase, beta-propeller fold"
1126,1495,COG2135,L,"ssDNA abasic site-binding protein YedK/HMCES, SRAP family"
1553,1568,COG2137,O,"SOS response regulatory protein OraA/RecX, interacts with RecA"
1245,8519,COG2141,H R,"Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)"
924,947,COG2142,C,"Succinate dehydrogenase, hydrophobic anchor subunit"
1271,2834,COG2146,P Q,Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
1796,4115,COG2148,M,"Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)"
438,510,COG2149,S,"Uncharacterized membrane protein YidH, DUF202 family"
1411,2218,COG2151,O,Metal-sulfur cluster biosynthetic enzyme
1196,1739,COG2153,R,"Predicted N-acyltransferase, GNAT family"
1226,1400,COG2154,H,Pterin-4a-carbinolamine dehydratase
689,725,COG2156,P,"K+-transporting ATPase, KdpC subunit"
1091,2826,COG2159,G,"5-carboxyvanillate decarboxylase LigW (lignin degradation), amidohydro domain"
605,1011,COG2161,V,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family"
1158,6624,COG2165,N U,Type II secretion system/type IV prepilin peptidase GspO/PulO/PilD
971,1063,COG2166,J O,"Sulfur transfer protein SufE/CsdE, Fe-S cluster assembly"
287,290,COG2168,J,"tRNA U34 sulfur transfer complex TusBCD TusB component, DsrH family"
829,1005,COG2169,L,"Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains"
739,1026,COG2170,O,"Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily"
1491,1547,COG2171,E,Tetrahydrodipicolinate N-succinyltransferase
481,1170,COG2175,Q,"Taurine dioxygenase, alpha-ketoglutarate-dependent"
994,1450,COG2176,L,"DNA polymerase III, alpha subunit (gram-positive type)"
1611,1673,COG2177,D,Cell division protein FtsX
1332,1348,COG2183,K,Transcriptional accessory protein Tex/SPT6
1177,4387,COG2186,K,"DNA-binding transcriptional regulator, FadR family"
421,456,COG2187,R,Aminoglycoside phosphotransferase family enzyme
1320,4744,COG2188,K,"DNA-binding transcriptional regulator, GntR family"
385,546,COG2192,R,"Predicted carbamoyl transferase, NodU family"
919,1293,COG2193,P,Bacterioferritin (cytochrome b1)
411,699,COG2194,M,"Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily"
1858,17938,COG2197,K T,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
1019,3048,COG2198,T,HPt (histidine-containing phosphotransfer) domain
1451,17086,COG2199,T,"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
1289,7124,COG2200,T,"EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)"
1280,2819,COG2201,T,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains"
1337,5294,COG2202,T,PAS domain
1525,9086,COG2203,T,GAF domain
1650,14651,COG2204,T,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
1714,6085,COG2205,T,K+-sensing histidine kinase KdpD
1712,20612,COG2207,K,AraC-type DNA-binding domain and AraC-containing proteins
1025,3737,COG2208,K T,"Phosphoserine phosphatase RsbU, regulator of sigma subunit"
857,1037,COG2212,P,"Multisubunit Na+/H+ antiporter, MnhF subunit"
386,476,COG2215,P,"ABC-type nickel/cobalt efflux system, permease component RcnA"
676,720,COG2216,P,"K+ transport ATPase, ATPase subunit KdpB"
2132,6722,COG2217,P,Cation-transporting P-type ATPase
1213,2289,COG2223,P,Nitrate/nitrite transporter NarK
714,739,COG2224,C,Isocitrate lyase
870,975,COG2225,C,Malate synthase
2207,18977,COG2226,J H,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9
1942,8109,COG2227,H,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"
1365,3041,COG2230,I,Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases
1143,2019,COG2233,F,Xanthine/uracil permease
452,519,COG2235,E,Arginine deiminase
1719,2390,COG2239,P,Mg/Co/Ni transporter MgtE (contains CBS domain)
542,596,COG2240,H,Pyridoxal/pyridoxine/pyridoxamine kinase
877,915,COG2241,H,Precorrin-6B methylase 1
974,1243,COG2242,H,Precorrin-6B methylase 2
848,1048,COG2243,H,Precorrin-2 methylase
1811,4812,COG2244,M,Membrane protein involved in the export of O-antigen and teichoic acid
948,1340,COG2246,I,Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)
850,1502,COG2249,R,Putative NADPH-quinone reductase (modulator of drug activity B)
1207,1711,COG2252,F,"Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family"
2035,2087,COG2255,L,"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB"
1958,2084,COG2256,L,Replication-associated recombination protein RarA (DNA-dependent ATPase)
532,559,COG2257,U,"Type III secretion system substrate exporter, FlhB-like"
1144,2185,COG2259,S,"Uncharacterized membrane protein YphA, DoxX/SURF4 family"
823,1154,COG2261,R,"Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family"
2033,2210,COG2262,J,50S ribosomal subunit-associated GTPase HflX
1653,1882,COG2264,J,Ribosomal protein L11 methylase PrmA
1926,2899,COG2265,J,"tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family"
1627,3847,COG2267,I,"Lysophospholipase, alpha-beta hydrolase superfamily"
1523,6103,COG2271,G,Sugar phosphate permease
1163,2673,COG2274,V,"ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain"
1147,3832,COG2303,I R,Choline dehydrogenase or related flavoprotein
759,1113,COG2307,S,"Uncharacterized conserved protein, Alpha-E superfamily"
804,1200,COG2308,R,Circularly permuted ATP-grasp protein
758,1283,COG2309,E,Leucyl aminopeptidase (aminopeptidase T)
279,392,COG2312,Q,Erythromycin esterase homolog
418,506,COG2314,R,"Uncharacterized membrane protein YozV, TM2 domain, contains pTyr"
752,871,COG2315,K,"Predicted DNA-binding protein with double-wing structural motif, MmcQ/YjbR family"
614,1289,COG2318,Q,"Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB)"
489,627,COG2320,R,"GrpB domain, predicted nucleotidyltransferase, UPF0157 family"
759,944,COG2321,R,Predicted metalloprotease
707,1343,COG2323,S,"Uncharacterized membrane protein YcaP, DUF421 family"
1221,1801,COG2326,C,"Polyphosphate kinase 2, PPK2 family"
828,1127,COG2331,R,"Predicted nucleic acid-binding protein, contains Zn-ribbon domain"
856,872,COG2332,O C,Cytochrome c biogenesis protein CcmE
1400,1925,COG2333,U,"DNA uptake channel protein ComEC C-terminal domain, metallo-beta-lactamase superfamily"
1163,1990,COG2334,T,"Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist"
395,525,COG2336,V,Antitoxin component MazE of the MazEF toxin-antitoxin module
898,1574,COG2337,V,"mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module"
1060,2014,COG2340,D R,Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain
1099,1551,COG2350,Q R,"YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis"
589,651,COG2351,F,"5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family"
1059,1099,COG2352,C,Phosphoenolpyruvate carboxylase
1123,2458,COG2353,R,Polyisoprenoid-binding periplasmic protein YceI
560,561,COG2354,L,"Membrane protein MutK/YedI, may be involved in DNA repair"
980,1477,COG2355,O E,"Zn-dependent dipeptidase, microsomal dipeptidase homolog"
386,552,COG2356,L,Endonuclease I
782,1800,COG2358,R,"TRAP-type uncharacterized transport system, periplasmic component"
1117,1140,COG2360,O,Leu/Phe-tRNA-protein transferase
828,871,COG2363,S,"Uncharacterized membrane protein YgdD, TMEM256/DUF423 family"
751,1179,COG2366,Q,Acyl-homoserine lactone (AHL) acylase PvdQ
317,386,COG2370,O,Hydrogenase/urease accessory protein HupE
559,594,COG2371,O,Urease accessory protein UreE
794,1128,COG2373,R,"Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family"
525,999,COG2375,P,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains"
1052,1072,COG2377,M,"1,6-Anhydro-N-acetylmuramate kinase"
1465,3648,COG2378,K,"Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains"
657,722,COG2379,G,Glycerate-2-kinase
403,406,COG2384,J,tRNA A22 N1-methylase
841,850,COG2386,O,"ABC-type transport system involved in cytochrome c biogenesis, permease component"
790,1071,COG2388,R,"Predicted acetyltransferase, GNAT superfamily"
583,769,COG2391,R,"Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains"
836,1556,COG2423,E,"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family"
799,966,COG2440,C,Ferredoxin-like protein FixX
553,681,COG2453,T,Protein-tyrosine phosphatase
508,1714,COG2508,K,"DNA-binding transcriptional regulator, PucR/PutR family"
802,959,COG2509,R,FAD-dependent dehydrogenase
919,1514,COG2513,G,"2-Methylisocitrate lyase and related enzymes, PEP mutase family"
680,809,COG2515,E,"1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family"
1390,2333,COG2518,O,Protein-L-isoaspartate O-methyltransferase
657,726,COG2519,J,tRNA A57/A58 N1-methylase Trm61
490,498,COG2603,J,"tRNA U34 2-selenouridine synthase SelU, contains rhodanese domain"
1305,2215,COG2606,J,"Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC"
703,715,COG2607,R,"Predicted ATPase, AAA+ superfamily"
1799,3862,COG2608,P,Copper chaperone CopZ
904,1038,COG2609,C,"Pyruvate dehydrogenase complex, dehydrogenase (E1) component"
832,1559,COG2610,G,"H+/gluconate symporter GntT or related permease, GntP/DsdX family"
701,1016,COG2706,G,"6-phosphogluconolactonase, cycloisomerase 2 family"
454,460,COG2715,R,Spore maturation protein SpmA (function unknown)
422,505,COG2716,E,Glycine cleavage system regulator GcvR
631,701,COG2717,C,Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases
576,592,COG2718,R,"Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family"
572,587,COG2719,D,"Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)"
679,1130,COG2721,G,Altronate dehydratase
523,541,COG2747,K N,Negative regulator of flagellin synthesis (anti-sigma28 factor)
1694,5757,COG2755,D I,Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK
1123,1576,COG2761,O,"Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance)"
987,2431,COG2764,C,"Zn-dependent glyoxalase, PhnB family"
573,679,COG2766,T,Predicted Ser/Thr protein kinase
1274,5111,COG2801,X,"Transposase InsO of transposable element IS3, Rve (retroviral integrase) family"
817,835,COG2802,S,"Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily"
1361,3276,COG2804,N U,Type II secretion system/type IV pilus assembly ATPase GspE/PulE/PilB
1032,1676,COG2805,N U,Type IV pilus retraction ATPase PilT/PilU
680,1019,COG2807,P,Cyanate permease
591,654,COG2808,T,Predicted FMN-binding regulatory protein PaiB
2098,3267,COG2812,L,"DNA polymerase III, gamma/tau subunits"
936,1205,COG2813,J,16S rRNA G1207 or 23S rRNA G1835 methylase RsmC/RlmG
2149,26165,COG2814,G,"Predicted arabinose efflux permease AraJ, MFS family"
1021,1155,COG2816,F,"NADH pyrophosphatase NudC, Nudix superfamily"
1261,1458,COG2818,L,3-methyladenine DNA glycosylase Tag
566,978,COG2819,R,Predicted hydrolase of the alpha/beta superfamily
670,717,COG2821,M,Membrane-bound lytic murein transglycosylase
836,1713,COG2823,M,"Phospholipid-binding membrane integrity protein DolP/YraP/OsmY, contains BON domain"
868,896,COG2824,R,Uncharacterized Zn-ribbon-containing protein
1073,1441,COG2825,M O,"Periplasmic chaperone for outer membrane proteins, Skp family"
1121,1770,COG2827,L,"Predicted endonuclease, GIY-YIG superfamily"
390,502,COG2828,C,2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)
534,1056,COG2831,U,"Two-partner (type Vb) secretion system protein, HlyB/FhaC/ShlB/HecB family"
636,685,COG2832,S,"Uncharacterized membrane protein YbaN, DUF454 family"
1418,1784,COG2834,M,Outer membrane lipoprotein-sorting protein
1226,1296,COG2835,J,RNA methyltransferase activator Trm112/YbaR
720,785,COG2836,S,"Uncharacterized membrane protein, DsbD domain"
628,890,COG2837,P,Periplasmic deferrochelatase/peroxidase EfeB
575,582,COG2838,C,Monomeric isocitrate dehydrogenase
850,953,COG2840,J L,"Stalled ribosome-rescuing mRNA endonuclease or DNA-nicking endonuclease, Smr domain"
1003,1033,COG2844,T O,UTP:GlnB (protein PII) uridylyltransferase
747,974,COG2847,P,Copper(I)-binding protein
381,1050,COG2849,V,Antitoxin component YwqK of the YwqJK toxin-antitoxin module
565,704,COG2850,J,"Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain"
201,255,COG2851,C,Mg2+/citrate symporter
706,786,COG2853,M,Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla
731,909,COG2854,M,Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla
1032,1209,COG2855,S,"Uncharacterized membrane protein YeiH, induced by redox stress, UPF0324 family"
729,835,COG2857,C,Cytochrome c1
1177,1320,COG2860,P,"Trimeric intracellular cation channel, TRIC family"
546,592,COG2861,G,"Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family"
490,516,COG2862,S,Uncharacterized membrane protein YqhA
812,2345,COG2863,C,Cytochrome c553
468,633,COG2864,C,Cytochrome b subunit of formate dehydrogenase
681,1010,COG2866,M,Murein tripeptide amidase MpaA
935,1010,COG2867,J,Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module
926,1460,COG2870,M,"ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase"
491,554,COG2872,J,Ser-tRNA(Ala) deacylase AlaX (editing enzyme)
1353,1897,COG2873,E,"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent"
858,897,COG2875,H,Precorrin-4 methylase
1200,1217,COG2877,M,3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase
273,300,COG2879,S,"Uncharacterized short protein YbdD, DUF466 family"
517,523,COG2882,N,Flagellar biosynthesis chaperone FliJ
1576,1618,COG2884,D,Cell division ATPase FtsE
1405,7590,COG2885,M,Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins
2249,3627,COG2890,J,Methylase of polypeptide chain release factors
644,644,COG2891,M,Cell shape-determining protein MreD
901,921,COG2894,D,Septum site-determining ATPase MinD
1026,1160,COG2895,P,"Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family"
1689,1925,COG2896,H,"GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)"
1369,2422,COG2897,P,"3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains"
476,616,COG2898,I,Bifunctional lysylphosphatidylglycerol synthetase/flippase MprF
577,589,COG2900,S,Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)
448,461,COG2901,K,DNA-binding protein Fis (factor for inversion stimulation)
571,619,COG2902,E,NAD-specific glutamate dehydrogenase
351,356,COG2904,J,"NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain"
1665,4003,COG2905,T,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"
750,1018,COG2906,P,Bacterioferritin-associated ferredoxin
574,662,COG2907,R,Predicted flavin-containing amine oxidase
1001,1377,COG2908,M,"UDP-2,3-diacylglucosamine pyrophosphatase LpxH"
618,1315,COG2909,K,"ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT"
662,1010,COG2910,R,Putative NADH-flavin reductase
1115,1390,COG2911,U,Autotransporter translocation and assembly protein TamB
496,520,COG2912,T,"Regulator of sirC expression, contains transglutaminase-like and TPR domains"
795,920,COG2913,M,"Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex"
294,294,COG2915,T X,"Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation"
667,684,COG2917,D,Intracellular septation protein A
421,439,COG2918,H,Gamma-glutamylcysteine synthetase
1219,1228,COG2919,D,Cell division protein FtsB
